Manufacturer,Name,Speed,Glide,Turn,Fade,Diameter,Height,RimDepth,RimWidth,Purchase Url
MVP,Ohm,2.0,5.0,0.0,1.0,21.2,1.9,1.5,1.0,https://infinitediscs.com/MVP-Ohm?tag=3c8c6529
MVP,Particle,3.0,3.0,-0.1,2.2,21.1,2.0,1.4,1.1,https://infinitediscs.com/MVP-Particle?tag=3c8c6529
MVP,Spin,3.0,4.1,-1.7,0.0,21.0,1.9,1.5,1.1,https://infinitediscs.com/MVP-Spin?tag=3c8c6529
Millennium,Aquarius,10.0,5.1,-3.7,1.8,21.0,1.9,1.2,2.0,https://infinitediscs.com/Millennium-Aquarius?tag=3c8c6529
Millennium,Aries,11.0,6.0,-2.6,1.1,21.1,1.5,1.2,2.2,https://infinitediscs.com/Millennium-Aries?tag=3c8c6529
Millennium,Astra,10.9,5.1,-2.0,1.9,21.1,1.5,1.2,2.2,https://infinitediscs.com/Millennium-Astra?tag=3c8c6529
Millennium,Astra-X,11.0,4.9,-1.6,3.2,21.1,1.5,1.2,2.2,https://infinitediscs.com/Millennium-Astra-X?tag=3c8c6529
Millennium,Falcon,13.0,5.1,-1.8,2.1,21.1,1.4,1.1,2.4,https://infinitediscs.com/Millennium-Falcon?tag=3c8c6529
Millennium,Polaris LF,9.0,5.0,-2.0,2.5,21.1,1.9,1.1,1.6,https://infinitediscs.com/Millennium-Polaris-LF?tag=3c8c6529
Millennium,Quasar,12.8,5.0,-1.0,3.9,21.2,1.6,1.2,2.5,https://infinitediscs.com/Millennium-Quasar?tag=3c8c6529
Millennium,Scorpius,12.8,4.4,-1.0,2.9,21.1,1.7,1.2,2.4,https://infinitediscs.com/Millennium-Scorpius?tag=3c8c6529
Millennium,Draco,9.0,3.0,0.0,4.0,21.2,1.4,1.2,1.9,https://infinitediscs.com/Millennium-Draco?tag=3c8c6529
Millennium,EXP-X,7.0,3.0,0.8,3.9,21.1,1.6,1.2,1.8,https://infinitediscs.com/Millennium-EXP-X?tag=3c8c6529
Millennium,EXP1,7.0,3.0,0.0,4.0,21.1,1.6,1.2,1.8,https://infinitediscs.com/Millennium-EXP1?tag=3c8c6529
Millennium,JLS,7.8,5.0,-1.9,1.8,21.0,1.5,1.1,1.6,https://infinitediscs.com/Millennium-JLS?tag=3c8c6529
Millennium,Orion LF,9.0,5.0,-1.0,2.9,21.1,1.5,1.2,1.9,https://infinitediscs.com/Millennium-Orion-LF?tag=3c8c6529
Millennium,Orion LS,9.1,4.9,-1.9,1.9,21.1,1.4,1.2,1.9,https://infinitediscs.com/Millennium-Orion-LS?tag=3c8c6529
Millennium,Polaris LS,7.8,5.0,-2.0,1.1,21.1,1.9,1.1,1.6,https://infinitediscs.com/Millennium-Polaris-LS?tag=3c8c6529
Millennium,Aurora MS,4.1,5.0,-1.0,1.0,21.8,1.8,1.2,1.2,https://infinitediscs.com/Millennium-Aurora-MS?tag=3c8c6529
